n_sim,l,s,cr_mean,glv_mean,div
0.0,0.01,10.0,31.721395759152216,41.466739787045555,0.0
0.0,0.01,15.0,25.932644293950485,42.74324328033978,0.0
0.0,0.01,20.0,21.3005107894923,40.23534168526766,0.0
0.0,0.01,25.0,13.286683441432297,16.995080115057302,0.0
0.0,0.01,30.0,15.114550544664565,11.764227116616949,0.0
0.0,0.01,35.0,9.384675189291682,15.811479452886958,0.0
0.0,0.01,40.0,7.998659478571855,16.966674689193848,0.0
0.0,0.01,45.0,7.237546886422601,13.369497832775382,0.0
0.0,0.01,50.0,7.6346882353727334,19.624439441462215,0.0
0.0,0.01,55.0,4.886260229230604,10.637344568801634,0.0
0.0,0.060000000000000005,10.0,50.36797523036796,17.82308890282102,0.0
0.0,0.060000000000000005,15.0,18.692517203063538,8.599970131674038,0.0
0.0,0.060000000000000005,20.0,15.195095993936201,7.6044489328150435,0.0
0.0,0.060000000000000005,25.0,17.116486957724792,28.035409816348643,0.0
0.0,0.060000000000000005,30.0,12.554533505136062,9.420751723234924,0.0
0.0,0.060000000000000005,35.0,10.491538702921734,4.975448025542381,0.0
0.0,0.060000000000000005,40.0,8.61032125971526,7.502544064048779,0.0
0.0,0.060000000000000005,45.0,7.319223297543817,13.87635841217056,0.0
0.0,0.060000000000000005,50.0,5.78966024665479,6.946200067559718,0.0
0.0,0.060000000000000005,55.0,5.9977760503372615,6.85788950173614,0.0
0.0,0.11,10.0,26.004078601431537,2.92089968157279,0.0
0.0,0.11,15.0,18.41767677407931,12.332791856119538,0.0
0.0,0.11,20.0,15.430941506542865,9.694906713343025,0.0
0.0,0.11,25.0,11.741194694194075,28.993514017241715,0.0
0.0,0.11,30.0,0.0,0.0,1.0
0.0,0.11,35.0,0.0,0.0,1.0
0.0,0.11,40.0,0.0,0.0,1.0
0.0,0.11,45.0,7.517081797714473,4.787876724298251,0.0
0.0,0.11,50.0,5.400005699509064,19.790216526251193,0.0
0.0,0.11,55.0,5.938203361678332,5.240302472518103,0.0
0.0,0.16000000000000003,10.0,23.62290144632552,2.6972343039473663,0.0
0.0,0.16000000000000003,15.0,0.0,0.0,1.0
0.0,0.16000000000000003,20.0,0.0,0.0,1.0
0.0,0.16000000000000003,25.0,13.855912602034609,42.64926086600131,0.0
0.0,0.16000000000000003,30.0,8.651542750068835,5.3560382727472895,0.0
0.0,0.16000000000000003,35.0,0.0,0.0,1.0
0.0,0.16000000000000003,40.0,7.691382405292094,21.212807195989917,0.0
0.0,0.16000000000000003,45.0,0.0,0.0,1.0
0.0,0.16000000000000003,50.0,0.0,0.0,1.0
0.0,0.16000000000000003,55.0,0.0,0.0,1.0
0.0,0.21000000000000002,10.0,0.0,0.0,1.0
0.0,0.21000000000000002,15.0,27.084012528948357,8.117408043867881,0.0
0.0,0.21000000000000002,20.0,13.158767200209533,3.140635263891723,0.0
0.0,0.21000000000000002,25.0,12.469178996835216,10.198070434919952,0.0
0.0,0.21000000000000002,30.0,0.0,0.0,1.0
0.0,0.21000000000000002,35.0,11.955942837286505,14.264760929069544,0.0
0.0,0.21000000000000002,40.0,0.0,0.0,1.0
0.0,0.21000000000000002,45.0,0.0,0.0,1.0
0.0,0.21000000000000002,50.0,0.0,0.0,1.0
0.0,0.21000000000000002,55.0,0.0,0.0,1.0
0.0,0.26,10.0,36.64456276758836,3.545101784839937,0.0
0.0,0.26,15.0,0.0,0.0,1.0
0.0,0.26,20.0,13.125013799740398,17.38815387840614,0.0
0.0,0.26,25.0,11.764875101364849,16.593690983201817,0.0
0.0,0.26,30.0,0.0,0.0,1.0
0.0,0.26,35.0,0.0,0.0,1.0
0.0,0.26,40.0,0.0,0.0,1.0
0.0,0.26,45.0,0.0,0.0,1.0
0.0,0.26,50.0,0.0,0.0,1.0
0.0,0.26,55.0,0.0,0.0,1.0
0.0,0.31000000000000005,10.0,38.9872511719476,9.139813731737156,0.0
0.0,0.31000000000000005,15.0,18.86192615732516,1.8481469909906485,0.0
0.0,0.31000000000000005,20.0,0.0,0.0,1.0
0.0,0.31000000000000005,25.0,13.484766181644805,121.66834681539632,0.0
0.0,0.31000000000000005,30.0,0.0,0.0,1.0
0.0,0.31000000000000005,35.0,0.0,0.0,1.0
0.0,0.31000000000000005,40.0,0.0,0.0,1.0
0.0,0.31000000000000005,45.0,0.0,0.0,1.0
0.0,0.31000000000000005,50.0,0.0,0.0,1.0
0.0,0.31000000000000005,55.0,0.0,0.0,1.0
0.0,0.36000000000000004,10.0,41.275969647536655,9.543154612506651,0.0
0.0,0.36000000000000004,15.0,18.455704240755093,2.3384843646636515,0.0
0.0,0.36000000000000004,20.0,0.0,0.0,1.0
0.0,0.36000000000000004,25.0,0.0,0.0,1.0
0.0,0.36000000000000004,30.0,0.0,0.0,1.0
0.0,0.36000000000000004,35.0,0.0,0.0,1.0
0.0,0.36000000000000004,40.0,0.0,0.0,1.0
0.0,0.36000000000000004,45.0,0.0,0.0,1.0
0.0,0.36000000000000004,50.0,0.0,0.0,1.0
0.0,0.36000000000000004,55.0,0.0,0.0,1.0
0.0,0.41000000000000003,10.0,42.13356117241887,1.6310556633188908,0.0
0.0,0.41000000000000003,15.0,22.819239600033125,6.68971136834193,0.0
0.0,0.41000000000000003,20.0,0.0,0.0,1.0
0.0,0.41000000000000003,25.0,0.0,0.0,1.0
0.0,0.41000000000000003,30.0,0.0,0.0,1.0
0.0,0.41000000000000003,35.0,0.0,0.0,1.0
0.0,0.41000000000000003,40.0,0.0,0.0,1.0
0.0,0.41000000000000003,45.0,0.0,0.0,1.0
0.0,0.41000000000000003,50.0,0.0,0.0,1.0
0.0,0.41000000000000003,55.0,0.0,0.0,1.0
0.0,0.46,10.0,0.0,0.0,1.0
0.0,0.46,15.0,27.18812712088912,8.398490234793094,0.0
0.0,0.46,20.0,0.0,0.0,1.0
0.0,0.46,25.0,0.0,0.0,1.0
0.0,0.46,30.0,0.0,0.0,1.0
0.0,0.46,35.0,0.0,0.0,1.0
0.0,0.46,40.0,0.0,0.0,1.0
0.0,0.46,45.0,0.0,0.0,1.0
0.0,0.46,50.0,0.0,0.0,1.0
0.0,0.46,55.0,0.0,0.0,1.0
