n_sim,l,s,cr_mean,glv_mean,div
0.0,0.01,10.0,39.36848223324278,0.3755962302989924,0.0
0.0,0.01,15.0,27.240170313732406,0.2613973524401186,0.0
0.0,0.01,20.0,11.514039359838801,0.14510313991542556,0.0
0.0,0.01,25.0,15.635134309337419,0.1763922609562443,0.0
0.0,0.01,30.0,11.219939212831582,0.11877318629106942,0.0
0.0,0.01,35.0,6.86190696714318,0.07611485087569503,0.0
0.0,0.01,40.0,0.0,0.0,1.0
0.0,0.01,45.0,7.42302266595165,0.10410807345649548,0.0
0.0,0.01,50.0,5.2632325138955425,0.07144494385541131,0.0
0.0,0.01,55.0,5.729204054887969,0.0667223675942284,0.0
0.0,0.05,10.0,33.23171185379938,0.31813529926328554,0.0
0.0,0.05,15.0,26.159499703724002,0.27931450757635673,0.0
0.0,0.05,20.0,14.049067736828672,0.16101297682355414,0.0
0.0,0.05,25.0,15.541043832724993,0.23395375184308168,0.0
0.0,0.05,30.0,10.06932883050481,0.19413116222795065,0.0
0.0,0.05,35.0,14.219847214806583,0.1896263475597202,0.0
0.0,0.05,40.0,0.0,0.0,1.0
0.0,0.05,45.0,8.641503817767582,0.08658986610002821,0.0
0.0,0.05,50.0,6.6938035828896725,0.09815254105937928,0.0
0.0,0.05,55.0,7.24490493000775,0.09962012756070333,0.0
0.0,0.09,10.0,28.980257989581702,0.3373761506289322,0.0
0.0,0.09,15.0,38.91436889972256,0.43966241884562435,0.0
0.0,0.09,20.0,15.669862617420439,0.20190397763106657,0.0
0.0,0.09,25.0,16.105351955759872,0.19404162146451523,0.0
0.0,0.09,30.0,13.444794475077977,0.208270602871254,0.0
0.0,0.09,35.0,0.0,0.0,1.0
0.0,0.09,40.0,9.869609725859107,0.1562381530243029,0.0
0.0,0.09,45.0,0.0,0.0,1.0
0.0,0.09,50.0,0.0,0.0,1.0
0.0,0.09,55.0,5.807461873118868,0.11634541826285964,0.0
0.0,0.13,10.0,22.101865875823655,0.20667854213416992,0.0
0.0,0.13,15.0,18.168294837903876,0.2225505030200138,0.0
0.0,0.13,20.0,12.510313845899242,0.18394675487832524,0.0
0.0,0.13,25.0,10.504631440725689,0.18802273433965028,0.0
0.0,0.13,30.0,9.604401679287422,0.1375132016167696,0.0
0.0,0.13,35.0,0.0,0.0,1.0
0.0,0.13,40.0,12.206240067466272,0.15676820490421037,0.0
0.0,0.13,45.0,0.0,0.0,1.0
0.0,0.13,50.0,8.297295328974474,0.1557074468514622,0.0
0.0,0.13,55.0,5.44015140860984,0.1056381269047363,0.0
0.0,0.17,10.0,39.61955595556784,0.37396699369895936,0.0
0.0,0.17,15.0,22.242169973283456,0.26041414074862257,0.0
0.0,0.17,20.0,18.12261967580233,0.3387015344658753,0.0
0.0,0.17,25.0,10.564965216030064,0.14916134030881806,0.0
0.0,0.17,30.0,12.527059272405358,0.21535660831952122,0.0
0.0,0.17,35.0,0.0,0.0,1.0
0.0,0.17,40.0,7.270206485263998,0.13771924583541847,0.0
0.0,0.17,45.0,8.111847245811013,0.1301781338081719,0.0
0.0,0.17,50.0,6.290331925537125,0.13910695520481606,0.0
0.0,0.17,55.0,4.674101319217407,0.09339591858260686,0.0
0.0,0.21000000000000002,10.0,61.518498291831385,0.5485957805038317,0.0
0.0,0.21000000000000002,15.0,22.484872645572654,0.19973583926498742,0.0
0.0,0.21000000000000002,20.0,16.075460299634457,0.23889632373324257,0.0
0.0,0.21000000000000002,25.0,12.446484036089794,0.1705920624934697,0.0
0.0,0.21000000000000002,30.0,11.552426660750074,0.20162659816734177,0.0
0.0,0.21000000000000002,35.0,8.052018424017517,0.14355341255919657,0.0
0.0,0.21000000000000002,40.0,7.039914436151234,0.14470300034756342,0.0
0.0,0.21000000000000002,45.0,0.0,0.0,1.0
0.0,0.21000000000000002,50.0,7.021997801997454,0.13194522912951515,0.0
0.0,0.21000000000000002,55.0,0.0,0.0,1.0
0.0,0.25,10.0,39.485302550726466,0.4489782065764537,0.0
0.0,0.25,15.0,23.73144684222261,0.24125673124482966,0.0
0.0,0.25,20.0,0.0,0.0,1.0
0.0,0.25,25.0,12.325368222129457,0.21754969547774533,0.0
0.0,0.25,30.0,16.267161830857624,0.23815116299176037,0.0
0.0,0.25,35.0,7.89070803276384,0.19036835601579802,0.0
0.0,0.25,40.0,8.75221389289274,0.16134288486926765,0.0
0.0,0.25,45.0,7.594403484192525,0.16776294833046432,0.0
0.0,0.25,50.0,6.616842278305142,0.14913315825636178,0.0
0.0,0.25,55.0,5.29054426399959,0.11535489305063733,0.0
0.0,0.29000000000000004,10.0,31.336900895315118,0.2583256952751123,0.0
0.0,0.29000000000000004,15.0,19.450969809206473,0.24668926737639696,0.0
0.0,0.29000000000000004,20.0,13.247906890573546,0.22872542517205194,0.0
0.0,0.29000000000000004,25.0,14.815678576401863,0.18199121773250976,0.0
0.0,0.29000000000000004,30.0,9.984703241812243,0.16575970917800947,0.0
0.0,0.29000000000000004,35.0,7.483967017371734,0.11861873465337582,0.0
0.0,0.29000000000000004,40.0,8.722591229197842,0.17209763079967877,0.0
0.0,0.29000000000000004,45.0,9.7736350357957,0.15594282359772493,0.0
0.0,0.29000000000000004,50.0,5.077472522418135,0.10143845526703356,0.0
0.0,0.29000000000000004,55.0,6.639173799310981,0.1492777585827923,0.0
0.0,0.33,10.0,36.362505225861455,0.32721587448029643,0.0
0.0,0.33,15.0,18.073017800366497,0.23671540145615425,0.0
0.0,0.33,20.0,24.565315429513614,0.3699096476551123,0.0
0.0,0.33,25.0,14.960397754364326,0.2794061229992206,0.0
0.0,0.33,30.0,11.384446503051826,0.24074764542350682,0.0
0.0,0.33,35.0,8.162357617331413,0.16152488542231305,0.0
0.0,0.33,40.0,8.40984632354458,0.15201454716894086,0.0
0.0,0.33,45.0,10.181499136640443,0.1544836334669062,0.0
0.0,0.33,50.0,5.735298135041285,0.1225829429150419,0.0
0.0,0.33,55.0,5.538175128146068,0.14137893170190455,0.0
0.0,0.37,10.0,0.0,0.0,1.0
0.0,0.37,15.0,23.749924465325137,0.24559883040251274,0.0
0.0,0.37,20.0,15.42327696927695,0.25805524802631546,0.0
0.0,0.37,25.0,12.91308002678495,0.2580837029214913,0.0
